Agent,Hidden_Layer_Size,Episode,Total_Rewards,Average_Speed,Average_Waiting_Time
DQNPER,1024,1,-2372998.7487639827,4.319114667821401,372.77430555555554
DQNPER,1024,2,-2213718.1655043154,4.258081100066812,350.0416666666667
DQNPER,1024,3,-2558552.023925799,4.07804139617036,396.1348611111111
DQNPER,1024,4,-2191230.3281270764,4.180051060369984,346.1380555555556
DQNPER,1024,5,-2449293.0898955083,4.030109922055376,380.48069444444445
DQNPER,1024,6,-2296076.5152605264,4.147534572842806,360.3748611111111
DQNPER,1024,7,-2402703.36171079,4.024828368409338,373.95708333333334
DQNPER,1024,8,-2189587.8481733887,4.234946617649338,346.4588888888889
DQNPER,1024,9,-2141626.5680307904,4.269631063906977,340.14444444444445
DQNPER,1024,10,-2154244.5092223613,4.207270767533326,341.2733333333333
DQNPER,1024,11,-2659540.543130405,4.118270298151047,410.56333333333333
DQNPER,1024,12,-2425202.016400049,4.081513721844871,377.64875
DQNPER,1024,13,-2266987.6061188155,4.151616643757218,356.37555555555554
DQNPER,1024,14,-2354433.3887138553,4.028689105923987,367.2915277777778
DQNPER,1024,15,-2314313.5805777335,4.119894775524881,362.63138888888886
DQNPER,1024,16,-2375720.812719583,4.046113772849064,370.4223611111111
DQNPER,1024,17,-2514829.0228388985,4.2234441934099,391.51625
DQNPER,1024,18,-2751460.1131095807,4.0142901570811205,422.29013888888886
DQNPER,1024,19,-2272914.097761332,4.141137593044991,357.0938888888889
DQNPER,1024,20,-2445426.3164934027,4.113106777178347,380.7736111111111
DQNPER,1024,21,-2211736.786306088,4.128364139971406,348.46930555555554
DQNPER,1024,22,-2348792.9743881123,4.036319859475397,366.58444444444444
DQNPER,1024,23,-2399396.6677266485,4.268032459318638,375.9298611111111
DQNPER,1024,24,-2385071.5766112944,4.140853165037087,372.66847222222225
DQNPER,1024,25,-2455265.5485341568,3.968950774380894,380.6986111111111
DQNPER,1024,26,-2543876.0119938296,3.909652669457831,392.41263888888886
DQNPER,1024,27,-2417308.7922786945,4.108252946857891,376.8198611111111
DQNPER,1024,28,-2572888.8695255667,3.958571315349094,396.9313888888889
DQNPER,1024,29,-2507823.1443280205,4.061678611023682,388.92555555555555
DQNPER,1024,30,-2385509.412623554,4.1157998867226615,372.47875
DQNPER,1024,31,-2366460.9622663744,4.141361696649306,370.08875
DQNPER,1024,32,-2498496.899886265,3.9976820056825244,386.9902777777778
DQNPER,1024,33,-2656243.8804283454,4.022237832723079,409.1451388888889
DQNPER,1024,34,-2676386.8484717095,4.127918835681175,412.9995833333333
DQNPER,1024,35,-2814803.119890437,3.9000261716497704,429.9451388888889
DQNPER,1024,36,-2498583.512022772,4.303506843896781,390.06055555555554
DQNPER,1024,37,-2575833.542029247,3.9780064201358,397.53472222222223
DQNPER,1024,38,-2295680.716679389,4.150781774657473,360.3523611111111
DQNPER,1024,39,-2526696.89945319,4.021682011642119,391.14694444444444
DQNPER,1024,40,-2404736.2266729963,4.06051080131804,374.59625
