Agent,Hidden_Layer_Size,Episode,Total_Rewards,Average_Speed,Average_Waiting_Time
DQN,64,1,-2341387.560645538,4.075228384842,365.945
DQN,64,2,-2208686.5832260875,4.229630852577051,349.05833333333334
DQN,64,3,-2451706.2548086923,4.082454856789432,381.33930555555554
DQN,64,4,-2378763.8640644457,4.16450195103842,372.0288888888889
DQN,64,5,-2224627.4281949634,4.2326330061778785,351.3023611111111
DQN,64,6,-2441705.4295132617,4.10564687396536,380.1822222222222
DQN,64,7,-2508244.0538317873,4.007277090235359,388.44
DQN,64,8,-2407703.607551401,3.9548943984035225,373.95222222222225
DQN,64,9,-2473152.136972387,4.18985927389009,385.39194444444445
DQN,64,10,-2668975.5744784684,4.097700416970881,411.66805555555555
DQN,64,11,-2340633.066813886,4.155818579391638,366.6461111111111
DQN,64,12,-2338850.479771577,4.146743398797656,366.3077777777778
DQN,64,13,-2448106.9963771882,4.098430667401748,380.99916666666667
DQN,64,14,-2426017.098484701,4.103109806082339,377.97791666666666
DQN,64,15,-2284301.4019426494,4.239119482613103,359.65527777777777
DQN,64,16,-2578285.1991881,3.9032889569533915,397.12805555555553
DQN,64,17,-2294227.8768010973,4.066862881733401,359.31138888888887
DQN,64,18,-2466683.6653470993,4.024518596590184,382.8401388888889
DQN,64,19,-2073646.902699531,4.317918084017001,331.18569444444444
DQN,64,20,-2485813.950179906,4.045431307664702,385.70625
DQN,64,21,-2400655.60446933,4.113144443920532,374.55583333333334
DQN,64,22,-2420475.644992349,4.101366102746396,377.19083333333333
DQN,64,23,-2406695.081934169,3.988610031789792,374.14930555555554
DQN,64,24,-2586606.2275207303,4.040094123259138,399.65180555555554
DQN,64,25,-2345123.871255944,4.150612961621898,367.21777777777777
DQN,64,26,-2367614.591350277,4.115825180950265,369.99361111111114
DQN,64,27,-2376974.134279607,4.170720420285639,371.8425
DQN,64,28,-2513446.713227622,3.9416707070825785,388.50652777777776
DQN,64,29,-2365965.6902997014,4.248907144890841,371.09541666666667
DQN,64,30,-2604998.674110199,3.959546251272566,401.4008333333333
DQN,64,31,-2292032.0188688664,4.3242498053831175,361.5802777777778
DQN,64,32,-2583386.143485465,3.9428175094437896,398.2318055555556
DQN,64,33,-2334389.223892315,4.05405250568382,364.76125
DQN,64,34,-2495380.9167259,3.994598437343207,386.52666666666664
DQN,64,35,-2539852.840119281,4.082155060356662,393.5788888888889
DQN,64,36,-2152484.3686654232,4.140397719413092,340.3601388888889
DQN,64,37,-2240016.8386151446,4.119780081685827,352.31125
DQN,64,38,-2390646.8479770645,4.121543840375809,373.2497222222222
DQN,64,39,-2466452.81108167,4.026544350597919,382.8283333333333
DQN,64,40,-2309582.541701787,4.052686980279177,361.3022222222222
DQN,64,41,-2602066.201282182,4.012650042778628,401.52458333333334
DQN,64,42,-2709936.0946766324,4.099526526238408,417.3752777777778
DQN,64,43,-2209690.6712076743,4.060976849058374,347.51125
DQN,64,44,-2607134.166858256,3.862622739627975,400.72819444444445
DQN,64,45,-2399408.449330454,4.078243820700812,374.0336111111111
DQN,64,46,-2605278.086617624,3.9484988548125433,401.32916666666665
DQN,64,47,-2419372.997514726,3.974486203438814,375.7688888888889
DQN,64,48,-2639302.698222059,3.9409209162480896,405.9790277777778
DQN,64,49,-1447390.1217318445,4.690706715519353,247.93347222222224
DQN,64,50,-2271617.3605668885,4.179592277394755,357.29833333333335
DQN,64,51,-2667374.071540286,4.185832405029506,412.32694444444445
DQN,64,52,-2484076.332907325,4.0367593247122056,385.37819444444443
DQN,64,53,-2550251.283243281,4.0147183484201845,394.34875
DQN,64,54,-2731427.722000283,4.118823368531593,420.55319444444444
DQN,64,55,-1680375.3110513065,4.477065192894039,278.1561111111111
DQN,64,56,-2531120.025609098,4.058652481947741,392.1309722222222
DQN,64,57,-1670112.7585638738,4.42805897596373,276.24069444444444
DQN,64,58,-2418090.507935318,3.9772846708502385,375.61875
DQN,64,59,-2402932.1146961595,4.030179022211419,374.0423611111111
DQN,64,60,-2577429.2153879944,4.155302628749497,399.52930555555554
DQN,64,61,-2508015.4325660453,4.078466276046626,389.1201388888889
DQN,64,62,-2344838.669697447,4.193324095408682,367.60527777777776
DQN,64,63,-2745919.694244865,4.035282085744806,421.73055555555555
DQN,64,64,-1915501.5979594348,4.399352873363837,310.03541666666666
DQN,64,65,-2327343.514498966,4.0912568036589,364.15472222222223
DQN,64,66,-2688540.050366524,4.049471582810017,413.90305555555557
DQN,64,67,-2584666.469753278,3.996854646126004,398.95
DQN,64,68,-2575581.789753391,3.9195029771542544,396.9147222222222
DQN,64,69,-2460268.6376085263,3.9406439795069708,381.11041666666665
DQN,64,70,-2562910.0258345464,4.120652482136329,397.16625
DQN,64,71,-2679300.000235103,3.915458387196022,411.27958333333333
DQN,64,72,-2740460.6130896886,3.941866542594688,420.03819444444446
DQN,64,73,-2341234.270044789,4.662885215001079,371.80027777777775
DQN,64,74,-2595652.7157426286,3.9181706720598664,399.68902777777777
DQN,64,75,-2557857.1732549956,4.046122654471657,395.7191666666667
DQN,64,76,-2473378.9248723323,3.9156816559046606,382.6816666666667
DQN,64,77,-2425391.626057472,4.092880255497968,377.78875
DQN,64,78,-1679388.0645485737,4.4953880618321005,278.20222222222225
DQN,64,79,-2600988.8270965195,4.100502464234087,402.25347222222223
DQN,64,80,-2623419.516115409,4.062451226467771,404.98833333333334
DQN,64,81,-2431873.0347578595,4.127819023400617,379.03833333333336
DQN,64,82,-1512000.2899632,4.621648821296296,256.2165277777778
DQN,64,83,-2656090.9238853715,3.997695562453179,408.87847222222223
DQN,64,84,-1588450.267662795,4.551829686080978,266.1363888888889
DQN,64,85,-2449024.6126748584,3.960116548993417,379.74347222222224
DQN,64,86,-2763172.463671586,4.041188065876167,424.18583333333333
DQN,64,87,-2644376.718557085,4.142365083904814,408.6981944444444
DQN,64,88,-2534598.7505054586,3.979600745615027,391.8236111111111
DQN,64,89,-2517670.986348524,4.010236360979461,389.7788888888889
DQN,64,90,-1208604.0959258133,4.818901520528825,216.05069444444445
DQN,64,91,-2388493.6342476327,4.17983847713842,373.5336111111111
DQN,64,92,-1188592.7939156804,4.7977668258208315,213.06
DQN,64,93,-2567150.2237948743,3.96246917302863,396.17333333333335
DQN,64,94,-1570947.080661067,4.591040616652122,264.0975
DQN,64,95,-2422877.33758614,4.1003842606000225,377.51458333333335
DQN,64,96,-1438398.6714492214,4.654310190905056,246.32069444444446
DQN,64,97,-2898957.559139303,4.207797856176472,444.7109722222222
DQN,64,98,-1996071.9207643387,4.331487276426984,320.5470833333333
DQN,64,99,-2614989.155609578,3.8984701183977135,402.1776388888889
DQN,64,100,-2636497.2087986646,3.857552712413203,404.75569444444443
DQN,64,101,-2710191.226276243,4.051094141140106,416.9263888888889
DQN,64,102,-2740632.139948553,3.9151786694167034,419.7951388888889
DQN,64,103,-2714286.39376174,4.017522369616264,417.15944444444443
DQN,64,104,-2507331.842740285,3.896405018872285,387.20458333333335
DQN,64,105,-2502050.8066535266,3.972433300799631,387.2313888888889
DQN,64,106,-2670369.478773618,4.028493410922094,411.1695833333333
DQN,64,107,-2618211.9961394095,3.972791779458433,403.36847222222224
DQN,64,108,-2603978.118432587,4.110651196280196,402.7701388888889
DQN,64,109,-2613365.123181002,4.070651127991192,403.6738888888889
DQN,64,110,-1281338.433050269,4.689785723801799,224.86152777777778
DQN,64,111,-2517263.024801213,4.137888607407477,390.99875
DQN,64,112,-1191487.4309103468,4.816049645636396,213.6448611111111
DQN,64,113,-2700012.8291542386,4.255155218072004,417.55333333333334
DQN,64,114,-2655317.650496527,4.207116030187894,410.8652777777778
DQN,64,115,-2727305.6654138286,4.402629718774919,422.81875
DQN,64,116,-2519901.3248230107,4.059328882619626,390.57958333333335
DQN,64,117,-2696668.68652493,4.23651830898396,416.9025
DQN,64,118,-2766963.7247515945,4.262615002940876,426.9266666666667
DQN,64,119,-2750685.0111639244,4.093819352454512,422.97777777777776
DQN,64,120,-2609495.6268581958,3.978033019539987,402.2102777777778
DQN,64,121,-2702790.465562105,3.9277852593709146,414.66541666666666
DQN,64,122,-1474292.6217941812,4.561935877455251,250.38222222222223
DQN,64,123,-2659112.7087136316,3.875392991129506,408.0751388888889
DQN,64,124,-1406523.0253788931,4.726721942574311,242.61763888888888
DQN,64,125,-2667678.8098200844,3.8852804757306947,409.36375
DQN,64,126,-1123685.3357400459,4.8685787463260075,204.75319444444443
DQN,64,127,-1458072.7378332717,4.62122593436566,248.7223611111111
DQN,64,128,-1180862.2846305622,4.794246121170263,211.95111111111112
DQN,64,129,-2636900.846876467,3.9321966281808396,405.55819444444444
DQN,64,130,-2514934.891000478,4.2263210225298025,391.5597222222222
DQN,64,131,-1165793.5171680897,4.826979002611905,210.18555555555557
DQN,64,132,-2528029.2383004786,4.262885645933191,393.7440277777778
DQN,64,133,-1417387.051464945,4.692874357423316,243.78805555555556
DQN,64,134,-1138605.5536264423,4.8261034965132845,206.40069444444444
DQN,64,135,-2610068.4812342967,4.158979491208615,404.09930555555553
DQN,64,136,-1158786.1756828083,4.833511523634671,209.2776388888889
DQN,64,137,-955739.2467366988,5.023441096252467,182.97597222222223
DQN,64,138,-1314475.3681990467,4.721842181576304,229.78444444444443
DQN,64,139,-2621464.1231822968,4.067928905718818,404.7715277777778
DQN,64,140,-1196576.1255429476,4.761817774686679,213.80930555555557
DQN,64,141,-2546438.910946059,4.029070741388936,393.9627777777778
DQN,64,142,-2732824.7114894935,3.94180962164879,418.9770833333333
DQN,64,143,-852904.6150234957,5.071894314910213,169.17791666666668
DQN,64,144,-1070857.872318134,4.886307404622534,197.59333333333333
DQN,64,145,-908978.4029297229,5.107911150653626,177.32611111111112
DQN,64,146,-842995.2862688822,5.067940548272483,167.76208333333332
DQN,64,147,-981868.5638384797,4.987797802211258,186.2486111111111
DQN,64,148,-2756321.226773787,4.014621912072278,422.9686111111111
DQN,64,149,-1138402.0708367901,4.854207424693349,206.65347222222223
DQN,64,150,-2665882.904572479,4.147293057195442,411.7344444444444
DQN,64,151,-947341.2668593858,4.958385259963922,181.15902777777777
DQN,64,152,-913997.9451506913,5.004042506384186,176.98458333333335
DQN,64,153,-2542490.0690072738,4.436526890745453,397.4888888888889
DQN,64,154,-928797.799110479,4.970197312027184,178.70166666666665
DQN,64,155,-1487613.0367681254,4.618610671649255,252.79902777777778
DQN,64,156,-2795008.76942027,4.150906045294752,429.70472222222224
DQN,64,157,-1367853.976309757,4.674194846377388,236.72166666666666
DQN,64,158,-2651582.6270791097,4.052255239949058,408.79791666666665
DQN,64,159,-948253.885925928,4.9703488839837,181.40541666666667
DQN,64,160,-1063442.3888645417,4.831883562382768,196.01916666666668
DQN,64,161,-1031285.6855621343,4.851490553659452,191.74902777777777
DQN,64,162,-890495.1578486641,4.9455256622765775,173.1351388888889
DQN,64,163,-1023738.8142640378,4.890572100698431,191.09166666666667
DQN,64,164,-2671107.3090546485,4.145065216208355,412.4377777777778
DQN,64,165,-784328.5610422075,5.087714510083684,159.81166666666667
DQN,64,166,-2400113.4887856133,4.009132159031196,373.4404166666667
DQN,64,167,-899371.2897493313,5.01527383247315,175.06541666666666
DQN,64,168,-2818781.5214643045,4.004881705721193,431.54625
DQN,64,169,-2899271.0512083643,4.23373546762841,445.0138888888889
DQN,64,170,-1025431.5410339949,4.958103674535211,192.00208333333333
DQN,64,171,-725809.2497365937,5.192566058509228,152.7325
DQN,64,172,-2751339.8025448904,4.041613916694668,422.5466666666667
DQN,64,173,-794620.9897068322,5.107333557238999,161.4373611111111
DQN,64,174,-2739983.031653024,3.938013507932911,419.93333333333334
DQN,64,175,-1093376.7043708398,4.871656960053411,200.57444444444445
DQN,64,176,-1040041.9947487252,4.882250149062248,193.27277777777778
DQN,64,177,-955165.5953385236,4.979602921005533,182.45791666666668
DQN,64,178,-1331618.408916739,4.6459805029182135,231.40680555555556
DQN,64,179,-2537674.276755611,4.278940667588411,395.2441666666667
DQN,64,180,-1161308.8236510577,4.870863636621634,210.00152777777777
DQN,64,181,-798424.676294026,5.092060131068295,161.81291666666667
DQN,64,182,-1265034.3734265175,4.653439328909827,222.23361111111112
DQN,64,183,-2578056.4641473647,4.035896391673934,398.4223611111111
DQN,64,184,-2798496.2668940914,4.094815800641974,429.62819444444443
DQN,64,185,-2788180.2532262537,4.048329878370034,427.73055555555555
DQN,64,186,-2602624.0131812254,4.055666544591257,402.03222222222223
DQN,64,187,-2733153.3589853034,3.993911739367124,419.54375
DQN,64,188,-2691520.7282505245,3.9200454988716285,413.0227777777778
DQN,64,189,-2867150.291432988,4.30852380036542,441.30055555555555
DQN,64,190,-2635157.0534223164,3.958138204467146,405.5754166666667
DQN,64,191,-2552129.182921694,4.232261413597757,396.785
DQN,64,192,-2835937.6707239193,3.899587963998021,432.87611111111113
DQN,64,193,-2693462.4139724923,4.279549873229342,416.8875
DQN,64,194,-2812172.52218126,4.173270591303595,432.3122222222222
DQN,64,195,-2684163.3077136353,3.9587180071838404,412.3876388888889
DQN,64,196,-2762226.8295862484,4.01459964994764,423.7886111111111
DQN,64,197,-2781314.5692160656,3.917519929634368,425.4688888888889
DQN,64,198,-1209131.3148473825,4.799481811523757,215.9297222222222
DQN,64,199,-2729023.7286045384,4.160684388436781,420.6379166666667
DQN,64,200,-1301891.6159282175,4.737838740773677,228.19666666666666
DQN,64,201,-2736760.7489756458,3.9671007671761385,419.77666666666664
DQN,64,202,-724837.0315746751,5.221985756631703,152.89166666666668
DQN,64,203,-945192.0485592796,4.997541069564829,181.25208333333333
DQN,64,204,-840710.9531379516,5.108250730875366,167.84791666666666
DQN,64,205,-1010973.5188161223,4.825812312973664,188.67111111111112
DQN,64,206,-2828167.749627051,3.968642425876089,432.4875
DQN,64,207,-722512.048423465,5.159152186614725,151.94041666666666
DQN,64,208,-2577231.407366255,4.398577745698487,401.9345833333333
DQN,64,209,-854993.2595160648,5.0496353637849065,169.24541666666667
DQN,64,210,-2844722.0194780803,4.05527756951523,435.65305555555557
DQN,64,211,-735696.5300085157,5.057089939025168,152.75097222222223
DQN,64,212,-963930.3902412035,4.915786322947938,183.03708333333333
DQN,64,213,-814753.2842815102,5.1025933542554025,164.1861111111111
DQN,64,214,-2752740.335790996,4.6831759719797095,429.15680555555554
DQN,64,215,-2678557.1932965135,4.221330715636773,414.2351388888889
DQN,64,216,-2832359.0447866325,3.936471659489774,432.74791666666664
DQN,64,217,-891650.5428477259,5.02215920600127,174.06194444444444
DQN,64,218,-860447.2960808228,4.991051520691043,169.41708333333332
DQN,64,219,-969084.4171645594,4.912188726376531,183.71694444444444
DQN,64,220,-1486609.1271037427,4.644345528149486,252.91694444444445
DQN,64,221,-2769496.4327981574,4.1665773873024055,426.31805555555553
DQN,64,222,-2796305.4818719206,3.970937811497332,428.0851388888889
DQN,64,223,-854547.7351395579,5.028184312209594,168.96902777777777
DQN,64,224,-673853.2927171901,5.175857126449903,145.34930555555556
DQN,64,225,-869885.9319707169,4.908751021601719,169.905
DQN,64,226,-754419.7351698249,5.144712093097922,156.2276388888889
DQN,64,227,-2693591.6499713976,3.986921588791073,413.9791666666667
DQN,64,228,-781828.9676340874,5.088264417616536,159.47
DQN,64,229,-823738.6773868537,5.059171226947781,164.9998611111111
DQN,64,230,-730449.9469235009,5.21354248614572,153.58680555555554
DQN,64,231,-988429.9499896847,4.955792437598642,186.8398611111111
DQN,64,232,-739367.9802941498,5.137319799096042,154.06319444444443
DQN,64,233,-782246.5473325097,5.1588813682799,160.23416666666665
DQN,64,234,-2648532.355979463,3.899800668289417,406.8497222222222
DQN,64,235,-1766308.1031763032,4.447318079921341,289.79375
DQN,64,236,-782846.2990225756,5.057079258393189,159.29944444444445
DQN,64,237,-2733574.839912712,4.0916133971415105,420.57930555555555
DQN,64,238,-2858309.759306199,3.940114513423307,436.3886111111111
DQN,64,239,-687304.8735215707,5.2628490622571364,148.0875
DQN,64,240,-716703.9166887976,5.221640129110918,151.75861111111112
DQN,64,241,-896942.7370906618,5.037573175795972,174.95111111111112
DQN,64,242,-841657.1921790969,5.0623724105931895,167.52055555555555
DQN,64,243,-684492.3577686613,5.2391201141800785,147.45958333333334
