Agent,Hidden_Layer_Size,Episode,Total_Rewards,Average_Speed,Average_Waiting_Time
DuelingDQN,64,1,-2682382.9219312468,3.957042809246308,412.12361111111113
DuelingDQN,64,2,-2487180.3703029444,4.00218936107672,385.4636111111111
DuelingDQN,64,3,-2642245.4245834155,4.138466388707723,408.36319444444445
DuelingDQN,64,4,-2292098.678550596,4.021962857287079,358.56666666666666
DuelingDQN,64,5,-2316119.896499272,4.1856820560121255,363.54013888888886
DuelingDQN,64,6,-2189571.023538483,4.186874735078583,345.97583333333336
DuelingDQN,64,7,-2446193.528043952,4.235423287066756,382.10333333333335
DuelingDQN,64,8,-2216998.2379309805,4.165024534490463,349.56666666666666
DuelingDQN,64,9,-2558144.6209535208,4.159921995037211,396.89708333333334
DuelingDQN,64,10,-2352152.4781596875,3.9756184171335036,366.44402777777776
DuelingDQN,64,11,-2459993.9616451394,4.058181148987654,382.2476388888889
DuelingDQN,64,12,-2449205.1203566096,3.9890539428756355,380.05791666666664
DuelingDQN,64,13,-2427558.2138639735,3.9677193104340587,376.83805555555557
DuelingDQN,64,14,-2517018.0588274095,4.097165911266538,390.5575
DuelingDQN,64,15,-2480566.215840388,4.090399840979487,385.4270833333333
DuelingDQN,64,16,-2133513.121020772,4.156373381985054,337.885
DuelingDQN,64,17,-2471147.9479832845,4.007153560120366,383.2865277777778
DuelingDQN,64,18,-2722047.8834550204,3.9155711211989193,417.21791666666667
DuelingDQN,64,19,-2545758.0311908512,4.0990829630741885,394.5683333333333
DuelingDQN,64,20,-2363282.7907612612,4.0037529658861,368.27125
DuelingDQN,64,21,-2495337.4138316787,4.212077650412162,388.6954166666667
DuelingDQN,64,22,-2530856.203368587,3.9755944567418458,391.26375
DuelingDQN,64,23,-2447705.7967094495,4.030669549417264,380.2658333333333
DuelingDQN,64,24,-2415049.4176002797,4.1483553739794266,376.90708333333333
DuelingDQN,64,25,-2156280.898807219,4.160779245934312,341.09125
DuelingDQN,64,26,-2384105.4989868524,4.072076463049976,371.8465277777778
DuelingDQN,64,27,-2302635.301990352,4.204065313492558,361.8511111111111
DuelingDQN,64,28,-2358730.9403250352,4.084292556206907,368.44444444444446
DuelingDQN,64,29,-2425483.281475567,4.125301708741913,378.12569444444443
DuelingDQN,64,30,-2646006.3559346003,4.014328449795938,407.64416666666665
DuelingDQN,64,31,-2414813.097467388,4.249040379069241,377.8811111111111
DuelingDQN,64,32,-2301768.672537293,4.217796278203484,361.86805555555554
DuelingDQN,64,33,-2566967.985033007,3.966889156791468,396.1922222222222
DuelingDQN,64,34,-2288697.43238305,4.0665773875093345,358.54041666666666
DuelingDQN,64,35,-2394360.772967901,4.287003219984675,375.4201388888889
DuelingDQN,64,36,-2270933.111663806,4.218067957481557,357.58805555555557
DuelingDQN,64,37,-2498226.2513994174,3.9175382319268475,386.15125
DuelingDQN,64,38,-2325722.3862920017,4.124744696993231,364.26444444444445
DuelingDQN,64,39,-2489200.30161774,4.096606983789824,386.68833333333333
DuelingDQN,64,40,-2555664.743291269,3.986378624315443,394.8172222222222
DuelingDQN,64,41,-2568364.0498739798,4.020416033346023,396.9213888888889
DuelingDQN,64,42,-2523211.3473362364,3.9311202334986772,389.7572222222222
DuelingDQN,64,43,-2495977.6269297414,4.047227464420191,387.1358333333333
DuelingDQN,64,44,-2373639.7495968575,4.064628538167537,370.3184722222222
DuelingDQN,64,45,-2255904.3103064364,4.255287422388944,355.87291666666664
DuelingDQN,64,46,-2494954.3109141192,4.03435685315448,386.865
DuelingDQN,64,47,-2548669.8723172136,3.97244627607667,393.7063888888889
DuelingDQN,64,48,-2414891.9842606974,4.0668891672601575,376.07055555555553
DuelingDQN,64,49,-2577780.00706379,4.225916634222021,400.2841666666667
DuelingDQN,64,50,-2404550.0601041443,4.093943670558898,374.90472222222223
DuelingDQN,64,51,-2547730.328732638,3.9270093815235456,393.12152777777777
DuelingDQN,64,52,-2546078.317887222,4.129481760124011,394.9168055555556
DuelingDQN,64,53,-2416757.9533547973,4.086278486809374,376.5236111111111
DuelingDQN,64,54,-2362540.5021454934,4.00932641895869,368.2238888888889
DuelingDQN,64,55,-2619872.466976725,4.1432574668911935,405.30375
DuelingDQN,64,56,-2807170.238353453,3.8585106349368585,428.46986111111113
DuelingDQN,64,57,-2604777.3571083853,4.190008995013513,403.6747222222222
DuelingDQN,64,58,-2595875.964227038,4.007167222725587,400.61
DuelingDQN,64,59,-2537163.4745394285,4.020493469370745,392.58875
DuelingDQN,64,60,-2516032.9831612236,4.019555848833796,389.64458333333334
DuelingDQN,64,61,-2331227.8272368484,4.080183016157168,364.5834722222222
DuelingDQN,64,62,-2519330.720620098,4.013656716215723,390.0436111111111
DuelingDQN,64,63,-2368861.7426621676,4.158600859774591,370.59458333333333
DuelingDQN,64,64,-2439704.232885687,4.130719050342421,380.155
DuelingDQN,64,65,-2387440.278659072,4.047190634487879,372.06083333333333
DuelingDQN,64,66,-2445712.460605421,4.0241047733490785,379.92333333333335
DuelingDQN,64,67,-2695441.372813761,3.920092102509282,413.5677777777778
DuelingDQN,64,68,-2813406.477092669,4.083340658679515,431.58430555555555
DuelingDQN,64,69,-2518911.9198103333,4.083001174760339,390.6788888888889
DuelingDQN,64,70,-2638257.998564566,3.876916743184558,405.19388888888886
DuelingDQN,64,71,-2598249.6740387515,4.077754590528078,401.6455555555556
DuelingDQN,64,72,-2573033.6068787538,4.3087138612768765,400.4529166666667
DuelingDQN,64,73,-2650026.423007379,4.099146964412422,409.05069444444445
DuelingDQN,64,74,-2797369.686141111,3.8764627496604427,427.28819444444446
DuelingDQN,64,75,-2558426.7364410306,3.9516981631755237,394.8540277777778
DuelingDQN,64,76,-2580635.3018525313,3.971509755188873,398.13666666666666
DuelingDQN,64,77,-2700285.157255507,4.225900660673507,417.2986111111111
DuelingDQN,64,78,-2404471.458605093,4.164715915424657,375.6015277777778
DuelingDQN,64,79,-2813179.397808996,4.011813979122341,430.8375
DuelingDQN,64,80,-2533978.091520438,4.285776573869425,394.7991666666667
DuelingDQN,64,81,-2680901.3212040025,4.146273380804955,413.8101388888889
DuelingDQN,64,82,-2535325.656250088,4.042032612416822,392.5488888888889
DuelingDQN,64,83,-2742152.5974262445,3.8422417592326394,419.27694444444444
DuelingDQN,64,84,-2365845.446625794,4.388257755108924,372.47222222222223
DuelingDQN,64,85,-2606741.9109609737,3.9615290729638835,401.66277777777776
DuelingDQN,64,86,-2460900.6246507103,4.038408050303472,382.17583333333334
DuelingDQN,64,87,-2665255.6975036263,4.179073711642328,411.9651388888889
DuelingDQN,64,88,-2655998.8584298557,4.007307581604996,408.96180555555554
DuelingDQN,64,89,-2802631.1569374995,4.07888677160144,430.04319444444445
DuelingDQN,64,90,-2561397.149729871,3.898914643115498,394.73875
DuelingDQN,64,91,-2794540.1073263525,4.296068023211084,431.09125
DuelingDQN,64,92,-2599899.0063257623,3.9866527493936585,400.9636111111111
DuelingDQN,64,93,-2661843.384287326,3.91480027648822,408.8484722222222
DuelingDQN,64,94,-2550480.590215639,4.070089086308888,394.93430555555557
DuelingDQN,64,95,-2495265.999343358,4.122861182368763,387.79333333333335
DuelingDQN,64,96,-2535709.0527514196,4.281971556013233,395.00152777777777
DuelingDQN,64,97,-2508394.2086511585,3.9865666045386337,388.25375
DuelingDQN,64,98,-2572545.1611132612,3.9899978215706824,397.1979166666667
DuelingDQN,64,99,-2710706.441777489,4.263966152851698,419.12666666666667
DuelingDQN,64,100,-2660452.335417179,4.014967624452363,409.65694444444443
DuelingDQN,64,101,-2599264.20717346,4.113802739850977,402.14694444444444
DuelingDQN,64,102,-2632065.7319664354,4.157767675354798,407.1423611111111
DuelingDQN,64,103,-2542621.7616240215,4.210822820712802,395.2501388888889
DuelingDQN,64,104,-2853044.702101468,3.868573639762774,434.94194444444446
DuelingDQN,64,105,-2599721.5541988015,4.053131253126057,401.60375
DuelingDQN,64,106,-2589299.880024124,4.122793395360303,400.85291666666666
DuelingDQN,64,107,-2451546.937949931,4.456959267297413,385.0622222222222
DuelingDQN,64,108,-2489574.2677647215,4.027246342218972,386.0466666666667
DuelingDQN,64,109,-2632829.3264251905,3.984509415005596,405.5158333333333
DuelingDQN,64,110,-2746725.9536509616,4.053389594052427,422.0236111111111
DuelingDQN,64,111,-2456029.5995490025,4.077019511854412,381.8854166666667
DuelingDQN,64,112,-2621432.7469903147,4.191920246011649,406.00708333333336
DuelingDQN,64,113,-2775059.260870949,4.046885328149695,425.89375
DuelingDQN,64,114,-2606480.3149905107,3.9615512383918183,401.62666666666667
DuelingDQN,64,115,-2616517.8449126147,4.060391104196865,404.00916666666666
DuelingDQN,64,116,-2651474.226056541,4.055580255529701,408.8161111111111
DuelingDQN,64,117,-2762019.348348346,3.8820368857639242,422.43416666666667
DuelingDQN,64,118,-2630854.1802063365,3.9010808881514043,404.40722222222223
DuelingDQN,64,119,-2614948.793550253,3.9828640370272272,403.0159722222222
DuelingDQN,64,120,-2586477.3548073634,4.160870136456485,400.84166666666664
DuelingDQN,64,121,-2646927.2634297265,4.071843624620494,408.34722222222223
DuelingDQN,64,122,-2569207.0740076825,3.9914018080679194,396.74833333333333
DuelingDQN,64,123,-2593532.9262725324,4.118667753237399,401.39958333333334
DuelingDQN,64,124,-2693594.2173009333,3.855927593694318,412.6695833333333
DuelingDQN,64,125,-2562582.5522030084,4.160631283810463,397.5205555555556
DuelingDQN,64,126,-2524101.88095734,4.102487826309409,391.59458333333333
DuelingDQN,64,127,-2621871.681635197,3.8860183669691017,403.00902777777776
DuelingDQN,64,128,-2394649.7647915985,4.050156103169355,373.09180555555554
DuelingDQN,64,129,-2737901.66959902,4.097171318073339,421.23583333333335
DuelingDQN,64,130,-2589296.224351824,3.9630108308040617,399.25458333333336
DuelingDQN,64,131,-2528754.667599841,3.9521018976380398,390.7369444444444
DuelingDQN,64,132,-2698099.998206579,4.039097308233007,415.12708333333336
DuelingDQN,64,133,-2762136.887617727,4.000307177499394,423.6331944444444
DuelingDQN,64,134,-2772663.8352690074,4.209696798374161,427.18916666666667
DuelingDQN,64,135,-2671752.793071421,4.104516826102258,412.12194444444447
DuelingDQN,64,136,-2615865.2274723095,3.9882468990265942,403.19708333333335
DuelingDQN,64,137,-2766876.8976859995,4.067445927143183,424.9629166666667
DuelingDQN,64,138,-2746472.763049106,4.099253353514383,422.44708333333335
DuelingDQN,64,139,-2730435.5473797773,3.95425634530814,418.76972222222224
DuelingDQN,64,140,-2656482.780669769,4.136628110002387,410.3222222222222
DuelingDQN,64,141,-2662551.9781096773,4.083500367140932,410.63388888888886
DuelingDQN,64,142,-2797344.088357731,4.081804390507489,429.33805555555557
DuelingDQN,64,143,-2706107.2870150986,4.103662743318462,416.8848611111111
DuelingDQN,64,144,-2811999.6956960233,3.9624903976521426,430.18041666666664
DuelingDQN,64,145,-2564496.0173829426,3.8894025928132465,395.07402777777776
